Date,day_opening_price,day_high,day_low,day_closing_price,day_trading_volume,ZERO_START_POINT,DAY_HIGH_vs_ZERO,DAY_LOW_vs_ZERO,DAY_CLOSE_vs_ZERO
29/04/2011,1360.14,1364.56,1358.69,1363.61,"3,479,070,000",0,4.42,-1.45,3.47
02/05/2011,1365.21,1370.58,1358.59,1361.22,"3,846,250,000",0,5.37,-6.62,-3.99
03/05/2011,1359.76,1360.84,1349.52,1356.62,"4,223,740,000",0,1.08,-10.24,-3.14
04/05/2011,1355.9,1355.9,1341.5,1347.32,"4,223,740,000",0,0,-14.4,-8.58
05/05/2011,1344.16,1348,1329.17,1335.1,"3,846,250,000",0,3.84,-14.99,-9.06
06/05/2011,1340.24,1354.36,1335.58,1340.2,"4,223,740,000",0,14.12,-4.66,-0.04
09/05/2011,1340.2,1349.44,1338.64,1346.29,"4,265,250,000",0,9.24,-1.56,6.09
10/05/2011,1348.34,1359.44,1348.34,1357.16,"4,223,740,000",0,11.1,0,8.82
11/05/2011,1354.51,1354.51,1336.36,1342.08,"3,846,250,000",0,0,-18.15,-12.43
12/05/2011,1339.39,1351.05,1332.03,1348.65,"3,777,210,000",0,11.66,-7.36,9.26
13/05/2011,1348.69,1350.47,1333.36,1337.77,"3,426,660,000",0,1.78,-15.33,-10.92
16/05/2011,1334.77,1343.33,1327.32,1329.47,"3,846,250,000",0,8.56,-7.45,-5.3
17/05/2011,1326.1,1330.42,1318.51,1328.98,"4,053,970,000",0,4.32,-7.59,2.88
18/05/2011,1328.54,1341.82,1326.59,1340.68,"3,922,030,000",0,13.28,-1.95,12.14
19/05/2011,1342.4,1346.82,1336.36,1343.6,"3,626,110,000",0,4.42,-6.04,1.2
20/05/2011,1342,1342,1330.67,1333.27,"4,066,020,000",0,0,-11.33,-8.73
23/05/2011,1333.07,1333.07,1312.88,1317.37,"3,255,580,000",0,0,-20.19,-15.7
24/05/2011,1317.7,1323.72,1313.87,1316.28,"3,846,250,000",0,6.02,-3.83,-1.42
25/05/2011,1316.36,1325.86,1311.8,1320.47,"4,109,670,000",0,9.5,-4.56,4.11
26/05/2011,1320.64,1328.51,1314.41,1325.69,"3,259,470,000",0,7.87,-6.23,5.05
27/05/2011,1325.69,1334.62,1325.69,1331.1,"3,124,560,000",0,8.93,0,5.41
31/05/2011,1331.1,1345.2,1331.1,1345.2,"4,696,240,000",0,14.1,0,14.1
01/06/2011,1345.2,1345.2,1313.71,1314.55,"4,241,090,000",0,0,-31.49,-30.65
02/06/2011,1314.55,1318.03,1305.61,1312.94,"3,762,170,000",0,3.48,-8.94,-1.61
03/06/2011,1312.94,1312.94,1297.9,1300.16,"3,505,030,000",0,0,-15.04,-12.78
06/06/2011,1300.26,1300.26,1284.72,1286.17,"3,555,980,000",0,0,-15.54,-14.09
07/06/2011,1286.31,1296.22,1284.74,1284.94,"3,846,250,000",0,9.91,-1.57,-1.37
08/06/2011,1284.63,1287.04,1277.42,1279.56,"3,970,810,000",0,2.41,-7.21,-5.07
09/06/2011,1279.63,1294.54,1279.63,1289,"3,332,510,000",0,14.91,0,9.37
10/06/2011,1288.6,1288.6,1268.28,1270.98,"3,846,250,000",0,0,-20.32,-17.62
13/06/2011,1271.31,1277.04,1265.64,1271.83,"4,132,520,000",0,5.73,-5.67,0.52
14/06/2011,1272.22,1292.5,1272.22,1287.87,"3,500,280,000",0,20.28,0,15.65
15/06/2011,1287.87,1287.87,1261.9,1265.42,"4,070,500,000",0,0,-25.97,-22.45
16/06/2011,1265.53,1274.11,1258.07,1267.64,"3,846,250,000",0,8.58,-7.46,2.11
17/06/2011,1268.58,1279.82,1267.4,1271.5,"4,916,460,000",0,11.24,-1.18,2.92
20/06/2011,1271.5,1280.42,1267.56,1278.36,"3,464,660,000",0,8.92,-3.94,6.86
21/06/2011,1278.4,1297.62,1278.4,1295.52,"4,056,150,000",0,19.22,0,17.12
22/06/2011,1295.48,1298.61,1286.79,1287.14,"3,718,420,000",0,3.13,-8.69,-8.34
23/06/2011,1286.6,1286.6,1262.87,1283.5,"4,983,450,000",0,0,-23.73,-3.1
24/06/2011,1283.04,1283.93,1267.24,1268.45,"3,665,340,000",0,0.89,-15.8,-14.59
27/06/2011,1268.44,1284.91,1267.53,1280.1,"3,479,070,000",0,16.47,-0.91,11.66
28/06/2011,1280.21,1296.8,1280.21,1296.67,"3,681,500,000",0,16.59,0,16.46
29/06/2011,1296.85,1309.21,1296.85,1307.41,"4,347,540,000",0,12.36,0,10.56
30/06/2011,1307.64,1321.97,1307.64,1320.64,"4,200,500,000",0,14.33,0,13
01/07/2011,1320.64,1341.01,1318.18,1339.67,"3,796,930,000",0,20.37,-2.46,19.03
05/07/2011,1339.59,1340.89,1334.3,1337.88,"3,722,320,000",0,1.3,-5.29,-1.71
06/07/2011,1337.56,1340.94,1330.92,1339.22,"3,564,190,000",0,3.38,-6.64,1.66
07/07/2011,1339.62,1356.48,1339.62,1353.22,"4,069,530,000",0,16.86,0,13.6
08/07/2011,1352.39,1352.39,1333.71,1343.8,"3,594,360,000",0,0,-18.68,-8.59
11/07/2011,1343.31,1343.31,1316.42,1319.49,"3,879,130,000",0,0,-26.89,-23.82
12/07/2011,1319.61,1327.17,1313.33,1313.64,"4,227,890,000",0,7.56,-6.28,-5.97
13/07/2011,1314.45,1331.48,1314.45,1317.72,"4,060,080,000",0,17.03,0,3.27
14/07/2011,1317.74,1326.88,1306.51,1308.87,"4,358,570,000",0,9.14,-11.23,-8.87
15/07/2011,1308.87,1317.7,1307.52,1316.14,"4,242,760,000",0,8.83,-1.35,7.27
18/07/2011,1315.94,1315.94,1295.92,1305.44,"4,118,160,000",0,0,-20.02,-10.5
19/07/2011,1307.07,1328.14,1307.07,1326.73,"4,304,600,000",0,21.07,0,19.66
20/07/2011,1328.66,1330.43,1323.65,1325.84,"3,767,420,000",0,1.77,-5.01,-2.82
21/07/2011,1325.65,1347,1325.65,1343.8,"4,837,430,000",0,21.35,0,18.15
22/07/2011,1343.8,1346.1,1336.95,1345.02,"3,522,830,000",0,2.3,-6.85,1.22
25/07/2011,1344.32,1344.32,1331.09,1337.43,"3,536,890,000",0,0,-13.23,-6.89
26/07/2011,1337.39,1338.51,1329.59,1331.94,"4,007,050,000",0,1.12,-7.8,-5.45
27/07/2011,1331.91,1331.91,1303.49,1304.89,"3,479,040,000",0,0,-28.42,-27.02
28/07/2011,1304.84,1316.32,1299.16,1300.67,"4,951,800,000",0,11.48,-5.68,-4.17
29/07/2011,1300.12,1304.16,1282.86,1292.28,"5,061,190,000",0,4.04,-17.26,-7.84
01/08/2011,1292.59,1307.38,1274.73,1286.94,"4,967,390,000",0,14.79,-17.86,-5.65
02/08/2011,1286.56,1286.56,1254.03,1254.05,"5,206,290,000",0,0,-32.53,-32.51
